School Type,Teacher-to-student ratio,Attendance,Mathematics Books,Mock result,NECTA result
Private,78,95,Own a Book,A,1
Private,94,85,Own a Book,B,1
Private,62,76,Own a Book,C,1
Private,61,87,Own a Book,A,1
Private,85,79,Own a Book,C,1
Government,106,70,Not Own Book,F,0
Private,71,80,Own a Book,C,1
Government,216,82,Not Own Book,D,1
Private,61,92,Not Own Book,A,1
Government,219,76,Not Own Book,C,0
Private,69,95,Own a Book,A,1
Government,99,73,Own a Book,B,1
Private,84,91,Own a Book,A,1
Private,76,98,Own a Book,C,1
Private,75,87,Own a Book,B,1
Private,63,92,Not Own Book,D,1
Government,154,59,Not Own Book,F,0
Private,50,88,Own a Book,C,1
Private,78,99,Own a Book,A,1
Private,94,93,Not Own Book,A,1
Private,50,87,Not Own Book,C,1
Government,131,72,Own a Book,F,0
Government,110,69,Not Own Book,F,0
Government,82,72,Not Own Book,B,1
Government,60,66,Not Own Book,F,0
Government,96,74,Own a Book,F,0
Government,139,75,Not Own Book,D,0
Private,92,88,Own a Book,A,1
Private,52,88,Own a Book,B,1
Private,79,90,Own a Book,C,1
Private,78,84,Own a Book,B,1
Private,100,91,Not Own Book,D,1
Government,175,77,Own a Book,D,0
Private,84,98,Not Own Book,B,1
Private,85,90,Own a Book,C,1
Private,61,84,Own a Book,C,1
Private,66,87,Own a Book,D,1
Government,200,58,Not Own Book,F,0
Government,60,77,Not Own Book,C,1
Private,64,73,Not Own Book,C,1
Private,55,95,Own a Book,B,1
Government,160,81,Not Own Book,F,0
Government,131,50,Own a Book,C,1
Private,84,96,Own a Book,B,1
Government,145,80,Own a Book,A,1
Government,80,67,Not Own Book,F,0
Private,52,79,Not Own Book,C,0
Government,149,61,Not Own Book,D,1
Government,115,62,Own a Book,C,1
Government,126,83,Not Own Book,F,0
Private,89,84,Own a Book,A,1
Private,86,94,Not Own Book,D,1
Private,101,87,Own a Book,A,1
Government,135,70,Own a Book,C,1
Government,121,54,Not Own Book,F,0
Government,168,58,Own a Book,F,0
Government,124,82,Not Own Book,D,0
Government,126,68,Not Own Book,B,1
Private,71,90,Own a Book,A,1
Private,99,99,Not Own Book,A,1
Government,181,68,Own a Book,B,1
Private,87,86,Own a Book,C,1
Private,99,96,Not Own Book,B,1
Government,190,70,Not Own Book,F,0
Government,99,73,Own a Book,D,0
Government,189,79,Not Own Book,D,1
Private,90,88,Own a Book,A,1
Government,179,77,Own a Book,D,1
Government,141,68,Own a Book,F,1
Government,174,79,Own a Book,F,0
Private,74,90,Own a Book,B,1
Government,105,67,Own a Book,A,1
Private,64,88,Own a Book,C,1
Government,181,50,Own a Book,F,0
Private,61,96,Own a Book,A,1
Government,113,57,Not Own Book,F,0
Private,86,80,Own a Book,F,0
Government,156,65,Own a Book,F,0
Government,175,52,Not Own Book,F,0
Government,94,74,Own a Book,D,1
Private,83,90,Own a Book,A,1
Private,65,84,Own a Book,A,1
Government,104,63,Not Own Book,F,0
Government,127,63,Not Own Book,A,1
Government,211,76,Not Own Book,D,1
Government,133,54,Not Own Book,F,0
Government,249,65,Not Own Book,D,1
Private,50,77,Own a Book,D,0
Government,80,77,Not Own Book,D,0
Private,94,85,Own a Book,B,1
Private,98,91,Own a Book,B,1
Private,62,96,Own a Book,A,1
Government,153,82,Not Own Book,C,1
Government,182,59,Not Own Book,D,0
Private,71,90,Not Own Book,D,1
Government,156,81,Own a Book,C,1
Government,150,76,Own a Book,D,0
Private,52,93,Not Own Book,A,1
Government,134,52,Not Own Book,F,0
Government,150,76,Not Own Book,D,1
Government,154,62,Not Own Book,F,0
Private,50,92,Own a Book,A,1
Government,183,76,Not Own Book,D,0
Government,155,75,Not Own Book,F,0
Government,102,68,Not Own Book,F,0
Private,101,97,Own a Book,B,1
Government,134,75,Not Own Book,F,0
Government,137,73,Not Own Book,C,1
Government,178,60,Not Own Book,F,0
Government,234,73,Not Own Book,C,1
Government,180,89,Not Own Book,F,0
Private,87,78,Own a Book,A,1
Government,104,77,Not Own Book,C,1
Private,76,93,Own a Book,B,1
Private,67,99,Own a Book,D,1
Private,85,93,Own a Book,A,1
Government,185,70,Not Own Book,B,1
Government,223,74,Not Own Book,F,0
Private,50,86,Not Own Book,C,1
Private,65,96,Own a Book,B,1
Private,94,77,Not Own Book,A,1
Private,53,84,Own a Book,A,1
Government,186,74,Own a Book,D,1
Private,92,96,Own a Book,C,1
Private,74,87,Own a Book,A,1
Private,53,82,Own a Book,C,1
Private,73,86,Own a Book,C,1
Government,215,66,Not Own Book,D,0
Private,98,85,Own a Book,D,1
Government,159,65,Not Own Book,C,1
Private,60,84,Not Own Book,A,1
Private,101,75,Not Own Book,D,1
Government,186,73,Own a Book,D,0
Private,61,92,Own a Book,C,1
Private,80,98,Own a Book,C,1
Government,163,78,Not Own Book,F,0
Government,121,78,Not Own Book,C,1
Government,165,72,Own a Book,D,0
Private,91,75,Own a Book,B,1
Private,70,89,Own a Book,B,1
Government,204,71,Own a Book,F,0
Government,71,80,Not Own Book,D,0
Private,108,91,Own a Book,B,1
Private,75,87,Own a Book,D,0
Private,91,99,Own a Book,C,1
Private,78,93,Not Own Book,D,1
Government,112,73,Not Own Book,B,1
Government,148,74,Own a Book,C,1
Government,64,70,Not Own Book,D,1
Private,85,88,Own a Book,A,1
Private,77,72,Not Own Book,B,1
Government,141,60,Own a Book,D,0
Private,86,84,Own a Book,C,1
Private,75,91,Own a Book,A,1
Private,84,76,Own a Book,C,1
Government,193,64,Not Own Book,F,0
Government,125,63,Own a Book,D,1
Government,112,71,Not Own Book,D,1
Private,50,91,Own a Book,C,1
Government,155,63,Own a Book,D,1
Government,170,64,Not Own Book,C,1
Private,55,83,Own a Book,A,1
Government,213,66,Own a Book,D,0
Government,112,69,Not Own Book,F,0
Private,50,97,Own a Book,A,1
Private,97,80,Own a Book,B,1
Private,50,99,Own a Book,A,1
Government,193,57,Own a Book,D,1
Private,85,94,Own a Book,C,1
Government,164,65,Not Own Book,C,1
Private,67,81,Own a Book,F,0
Government,172,83,Not Own Book,A,1
Government,197,70,Own a Book,F,0
Private,60,88,Not Own Book,B,1
Private,89,86,Not Own Book,A,1
Government,191,64,Not Own Book,F,0
Private,79,86,Own a Book,A,1
Private,66,65,Not Own Book,B,1
Private,89,75,Not Own Book,C,1
Government,172,73,Own a Book,D,1
Government,104,81,Not Own Book,D,1
Private,69,97,Own a Book,A,1
Government,186,60,Not Own Book,F,0
Government,155,71,Not Own Book,F,0
Government,198,50,Own a Book,F,0
Private,69,85,Not Own Book,D,1
Private,60,93,Own a Book,C,1
Private,107,87,Not Own Book,D,1
Private,50,85,Own a Book,D,1
Private,67,87,Own a Book,A,1
Private,79,96,Own a Book,C,1
Private,89,86,Own a Book,C,1
Government,179,70,Not Own Book,F,0
Government,254,85,Own a Book,F,0
Private,73,86,Own a Book,C,1
Private,61,76,Not Own Book,D,1
Private,71,97,Own a Book,A,1
Government,135,80,Not Own Book,A,1
Government,146,50,Own a Book,F,0
Government,105,68,Own a Book,C,1
Government,185,69,Own a Book,C,1
Government,166,83,Not Own Book,F,0
Private,56,87,Own a Book,A,1
Government,193,71,Not Own Book,F,0
Government,113,71,Not Own Book,A,1
Government,96,65,Own a Book,D,1
Private,76,97,Own a Book,B,1
Government,70,62,Not Own Book,D,0
Private,83,84,Own a Book,A,1
Government,60,69,Own a Book,F,1
Government,103,56,Not Own Book,D,0
Private,98,99,Not Own Book,C,1
Private,64,87,Not Own Book,A,1
Private,67,93,Own a Book,A,1
Government,207,60,Own a Book,D,0
Private,63,92,Not Own Book,C,1
Government,184,77,Own a Book,D,0
Government,202,79,Not Own Book,F,0
Private,82,99,Own a Book,A,1
Government,84,64,Not Own Book,D,0
Private,65,86,Not Own Book,A,1
Private,115,82,Own a Book,B,1
Government,127,69,Own a Book,A,1
Private,119,92,Own a Book,A,1
Private,100,92,Own a Book,A,1
Government,173,86,Not Own Book,F,0
Private,79,91,Own a Book,C,1
Government,129,70,Own a Book,A,1
Government,145,59,Own a Book,C,1
Government,119,78,Not Own Book,D,1
Government,147,68,Not Own Book,F,0
Private,54,94,Own a Book,C,1
Private,53,85,Own a Book,D,1
Government,208,82,Not Own Book,F,1
Government,77,73,Not Own Book,A,1
Government,189,79,Own a Book,D,1
Private,50,90,Own a Book,A,1
Private,84,81,Not Own Book,C,1
Government,140,66,Not Own Book,F,0
Government,209,57,Not Own Book,D,0
Government,135,71,Own a Book,C,1
Government,60,55,Not Own Book,C,1
Government,141,72,Not Own Book,F,0
Government,157,50,Own a Book,F,1
Private,73,93,Own a Book,A,1
Government,175,58,Not Own Book,D,1
Government,124,60,Not Own Book,D,1
Government,93,83,Own a Book,B,1
Government,105,73,Not Own Book,B,1
Government,126,78,Not Own Book,C,1
Government,126,59,Not Own Book,F,0
Private,111,94,Own a Book,D,0
Government,206,68,Not Own Book,D,1
Government,180,71,Own a Book,F,0
Government,170,84,Own a Book,F,0
Government,163,58,Not Own Book,D,0
Private,79,94,Own a Book,A,1
Government,157,73,Not Own Book,F,0
Private,75,86,Own a Book,A,1
Private,50,80,Own a Book,B,1
Government,133,67,Not Own Book,F,0
Private,71,82,Own a Book,C,1
Private,63,96,Own a Book,D,1
Government,124,70,Not Own Book,F,0
Private,79,83,Not Own Book,C,1
Government,184,55,Not Own Book,D,0
Government,163,65,Not Own Book,A,1
Government,183,82,Own a Book,F,0
Private,86,88,Own a Book,A,1
Government,136,68,Own a Book,C,1
Government,173,86,Not Own Book,F,0
Government,71,65,Own a Book,D,0
Private,69,82,Own a Book,A,1
Government,127,74,Not Own Book,F,0
Government,218,74,Own a Book,C,1
Private,80,83,Own a Book,B,1
Government,89,62,Not Own Book,F,0
Government,176,84,Own a Book,D,0
Private,88,84,Own a Book,C,1
Private,73,77,Own a Book,D,1
Government,181,71,Own a Book,D,0
Government,60,78,Not Own Book,F,0
Private,50,86,Not Own Book,B,1
Government,96,75,Not Own Book,D,0
Private,77,80,Not Own Book,F,0
Private,97,92,Own a Book,A,1
Government,99,60,Not Own Book,F,0
Government,111,73,Not Own Book,C,0
Private,76,93,Not Own Book,D,1
Private,67,88,Own a Book,A,1
Private,66,79,Own a Book,D,0
Government,131,58,Not Own Book,F,0
Private,94,99,Not Own Book,F,0
Private,91,82,Not Own Book,F,0
Government,151,77,Own a Book,B,1
Private,99,88,Own a Book,C,1
Private,82,80,Own a Book,B,1
Government,201,64,Not Own Book,D,0
Government,111,86,Own a Book,D,1
Government,120,92,Own a Book,C,1
Private,65,85,Own a Book,A,1
Government,146,66,Own a Book,D,0
Government,152,53,Not Own Book,C,1
Private,79,76,Not Own Book,D,1
Private,104,81,Own a Book,B,1
Government,182,65,Not Own Book,D,0
Private,67,87,Own a Book,A,1
Private,74,92,Own a Book,D,1
Private,97,89,Own a Book,D,1
Government,185,77,Not Own Book,F,0
Private,97,83,Not Own Book,D,0
Private,67,87,Own a Book,A,1
Government,117,66,Not Own Book,C,0
Government,118,57,Own a Book,F,0
Government,131,50,Own a Book,C,1
Private,59,83,Own a Book,A,1
Government,163,50,Not Own Book,F,0
Private,79,80,Own a Book,B,1
Government,210,75,Own a Book,F,0
Private,50,89,Own a Book,B,1
Government,107,70,Own a Book,B,1
Private,87,96,Own a Book,C,1
Private,77,82,Own a Book,D,1
Government,152,76,Own a Book,D,0
Government,206,61,Not Own Book,F,1
Private,59,89,Own a Book,C,1
Government,117,71,Own a Book,D,0
Private,62,89,Own a Book,B,1
Private,50,85,Not Own Book,A,1
Private,76,90,Own a Book,A,1
Government,126,73,Not Own Book,D,0
Government,117,55,Not Own Book,B,1
Government,108,78,Own a Book,D,1
Private,74,79,Not Own Book,D,0
Government,114,61,Not Own Book,D,1
Government,159,72,Own a Book,D,0
Private,81,92,Own a Book,D,1
Government,136,72,Own a Book,B,1
Private,69,90,Own a Book,C,1
Private,77,80,Not Own Book,D,1
Government,148,64,Not Own Book,F,0
Private,94,73,Own a Book,F,1
Government,164,60,Own a Book,B,0
Private,91,78,Not Own Book,D,0
Private,84,88,Own a Book,D,0
Private,55,99,Own a Book,A,1
Government,124,77,Not Own Book,F,1
Government,147,50,Not Own Book,D,0
Private,88,77,Own a Book,D,0
Private,103,78,Own a Book,C,1
Government,128,52,Not Own Book,D,0
Private,75,86,Own a Book,A,1
Private,86,89,Not Own Book,B,1
Government,147,57,Own a Book,F,0
Government,223,67,Own a Book,C,1
Private,54,89,Own a Book,D,1
Private,85,92,Own a Book,F,0
Government,180,71,Own a Book,F,0
Government,201,73,Not Own Book,D,1
Government,152,69,Not Own Book,A,1
Government,190,59,Own a Book,F,0
Government,138,62,Not Own Book,F,0
Government,113,56,Not Own Book,D,1
Government,107,84,Not Own Book,F,0
Government,85,55,Own a Book,D,1
Private,68,94,Not Own Book,B,1
Private,79,77,Own a Book,C,1
Private,71,93,Own a Book,A,1
Government,158,79,Own a Book,C,1
Government,205,81,Not Own Book,C,0
Government,126,59,Not Own Book,C,1
Private,110,89,Own a Book,A,1
Private,86,83,Own a Book,A,1
Private,72,81,Not Own Book,D,1
Private,71,88,Own a Book,C,1
Private,59,93,Not Own Book,A,1
Government,148,64,Own a Book,F,0
Government,60,73,Not Own Book,D,0
Private,93,81,Own a Book,C,1
Government,60,59,Not Own Book,F,0
Private,75,85,Own a Book,B,1
Government,98,67,Not Own Book,F,0
Private,64,92,Own a Book,A,1
Private,66,79,Own a Book,D,1
Government,236,91,Own a Book,D,1
Private,58,75,Own a Book,C,1
Government,191,72,Not Own Book,F,1
Government,202,67,Not Own Book,F,0
Government,60,63,Own a Book,D,1
Government,122,68,Not Own Book,D,0
Private,97,92,Not Own Book,C,1
Government,90,78,Own a Book,F,0
Private,92,86,Not Own Book,D,0
Government,149,73,Not Own Book,D,1
Private,74,78,Own a Book,C,1
Government,153,68,Own a Book,F,0
Government,165,73,Own a Book,C,0
Private,60,72,Own a Book,D,0
Private,71,88,Not Own Book,A,1
Government,166,68,Not Own Book,F,0
Government,157,82,Own a Book,A,1
Private,80,89,Not Own Book,B,1
Private,64,91,Own a Book,B,1
Government,178,67,Not Own Book,F,0
Government,155,76,Own a Book,C,1
Private,51,91,Own a Book,A,1
Government,126,56,Not Own Book,B,1
Government,109,73,Own a Book,A,1
Private,61,96,Own a Book,A,1
Private,67,94,Own a Book,A,1
Government,177,70,Own a Book,B,1
Private,65,90,Own a Book,A,1
Government,160,79,Not Own Book,F,0
Government,152,58,Own a Book,C,1
Private,63,91,Own a Book,B,1
Private,69,74,Own a Book,B,1
Government,188,78,Not Own Book,D,0
Government,156,66,Not Own Book,D,1
Government,174,69,Not Own Book,F,1
Private,94,84,Own a Book,F,1
Government,169,69,Own a Book,B,1
Government,63,72,Not Own Book,A,1
Private,79,93,Not Own Book,D,0
Government,122,82,Not Own Book,B,1
Private,102,88,Own a Book,A,1
Private,80,76,Own a Book,A,1
Private,66,97,Own a Book,A,1
Private,83,77,Own a Book,A,1
Government,154,65,Own a Book,C,1
Government,72,65,Own a Book,C,1
Government,188,70,Not Own Book,D,1
Private,68,79,Own a Book,A,1
Private,96,78,Own a Book,A,1
Private,73,87,Own a Book,C,1
Private,96,82,Own a Book,B,1
Government,169,83,Own a Book,B,1
Government,193,64,Not Own Book,B,1
Government,127,59,Own a Book,F,0
Private,80,99,Own a Book,B,1
Government,72,74,Not Own Book,F,0
Government,144,92,Not Own Book,C,0
Private,52,74,Own a Book,B,1
Government,98,72,Not Own Book,C,1
Government,109,74,Not Own Book,D,1
Private,84,88,Own a Book,F,1
Private,72,85,Own a Book,C,1
Government,151,82,Not Own Book,B,1
Private,72,91,Own a Book,A,1
Private,91,76,Own a Book,D,1
Private,75,81,Own a Book,F,0
Private,78,79,Own a Book,A,1
Government,124,68,Not Own Book,C,1
Private,92,94,Own a Book,C,1
Private,93,85,Not Own Book,B,1
Private,74,86,Not Own Book,C,1
Private,66,81,Own a Book,B,1
Private,50,93,Own a Book,B,1
Private,61,96,Own a Book,A,1
Government,60,69,Own a Book,F,0
Government,109,85,Not Own Book,F,0
Government,166,64,Own a Book,F,0
Private,74,78,Own a Book,B,1
Private,109,93,Not Own Book,A,1
Private,69,87,Not Own Book,D,0
Private,68,83,Not Own Book,A,1
Private,90,88,Not Own Book,A,1
Private,50,76,Own a Book,A,1
Government,83,52,Own a Book,D,1
Government,179,70,Not Own Book,D,0
Government,141,74,Not Own Book,D,1
Government,142,83,Own a Book,D,0
Private,60,94,Not Own Book,B,1
Private,78,92,Own a Book,C,1
Private,62,96,Own a Book,A,1
Private,76,91,Own a Book,A,1
Private,57,85,Own a Book,C,1
Government,141,79,Not Own Book,F,0
Private,105,94,Own a Book,A,1
Government,130,69,Not Own Book,F,0
Government,144,58,Not Own Book,F,0
Government,140,52,Not Own Book,C,1
Private,77,93,Not Own Book,A,1
Private,82,91,Own a Book,A,1
Government,161,76,Not Own Book,D,1
Private,79,94,Not Own Book,A,1
Government,141,61,Not Own Book,F,0
Government,154,51,Not Own Book,F,0
Government,140,75,Not Own Book,B,1
Private,50,96,Own a Book,B,1
Private,114,90,Not Own Book,D,1
Government,182,55,Not Own Book,F,0
Government,105,72,Not Own Book,B,1
Government,160,58,Not Own Book,C,0
Government,89,54,Not Own Book,B,1
Government,127,69,Own a Book,D,0
Private,52,89,Own a Book,C,1
Government,147,69,Not Own Book,D,0
Government,78,74,Own a Book,C,1
Government,167,62,Not Own Book,D,1
Government,180,70,Not Own Book,F,0
Government,112,65,Not Own Book,C,1
Private,77,86,Not Own Book,B,1
Private,61,89,Own a Book,B,1
Government,173,80,Not Own Book,F,0
Private,64,90,Own a Book,D,1
Government,185,76,Not Own Book,B,1
Government,68,70,Own a Book,F,0
Government,104,74,Own a Book,D,1
Government,100,80,Not Own Book,C,1
Government,159,88,Not Own Book,B,1
Government,174,82,Not Own Book,A,1
Government,162,69,Not Own Book,D,0
Government,127,81,Own a Book,C,1
Private,50,91,Own a Book,A,1
Government,151,63,Own a Book,F,0
Government,185,75,Not Own Book,D,0
Government,270,58,Not Own Book,F,0
Private,68,91,Own a Book,A,1
Government,120,87,Not Own Book,D,0
Government,164,78,Not Own Book,F,0
Government,138,81,Not Own Book,C,1
Government,207,66,Not Own Book,C,1
Private,62,91,Own a Book,C,1
Government,138,76,Not Own Book,A,1
Government,189,66,Own a Book,F,0
Private,79,92,Own a Book,B,1
Private,92,91,Own a Book,A,1
Private,68,92,Own a Book,B,1
Private,93,80,Not Own Book,C,1
Government,75,82,Not Own Book,F,0
Government,76,74,Not Own Book,A,1
Private,94,87,Not Own Book,B,1
Government,150,69,Own a Book,F,0
Government,191,69,Own a Book,D,1
Government,154,61,Not Own Book,F,0
Private,74,96,Own a Book,A,1
Private,55,94,Own a Book,A,1
Private,74,95,Not Own Book,A,1
Government,211,85,Not Own Book,C,1
Private,75,89,Not Own Book,B,1
Government,180,53,Not Own Book,F,0
Government,179,76,Not Own Book,D,0
Government,104,75,Not Own Book,C,1
Government,188,85,Not Own Book,B,1
Private,70,95,Own a Book,B,1
Government,138,71,Own a Book,D,1
Government,244,68,Not Own Book,F,0
Government,176,80,Not Own Book,D,1
Private,65,69,Own a Book,C,1
Government,152,72,Not Own Book,F,0
Government,151,79,Own a Book,C,1
Government,225,68,Own a Book,F,0
Private,75,85,Not Own Book,B,1
Government,249,72,Not Own Book,F,0
Private,55,97,Own a Book,A,1
Government,148,74,Own a Book,F,0
Government,115,63,Not Own Book,C,0
Government,127,82,Own a Book,B,1
Private,67,97,Own a Book,B,1
Private,64,82,Own a Book,A,1
Government,227,92,Not Own Book,D,0
Private,96,87,Own a Book,A,1
Private,81,94,Not Own Book,B,1
Private,67,93,Own a Book,A,1
Private,64,83,Own a Book,D,0
Government,183,65,Not Own Book,F,0
Government,163,70,Own a Book,C,0
Private,72,74,Own a Book,B,1
Private,83,93,Own a Book,C,1
Government,190,51,Not Own Book,F,0
Government,143,70,Own a Book,F,0
Government,114,63,Not Own Book,D,1
Private,55,92,Own a Book,C,1
Private,78,72,Own a Book,B,1
Government,247,53,Own a Book,F,0
Private,58,83,Own a Book,D,1
Private,91,91,Own a Book,B,1
Private,64,89,Own a Book,C,1
Government,128,80,Not Own Book,D,1
Private,88,88,Not Own Book,A,1
Government,138,69,Own a Book,D,0
Private,78,80,Own a Book,D,0
Private,78,86,Own a Book,A,1
Private,64,87,Own a Book,D,1
Government,190,50,Own a Book,D,0
Government,147,61,Not Own Book,D,1
Government,87,74,Not Own Book,C,1
Private,61,89,Own a Book,A,1
Government,60,67,Not Own Book,C,1
Government,152,63,Not Own Book,D,1
Government,208,52,Own a Book,D,0
Government,102,50,Not Own Book,A,1
Government,176,66,Not Own Book,F,0
Government,169,84,Own a Book,F,0
Private,63,88,Own a Book,A,1
Government,219,80,Not Own Book,D,1
Government,137,58,Own a Book,F,0
Private,105,89,Own a Book,C,1
Private,50,83,Own a Book,B,1
Government,137,62,Own a Book,F,0
Government,143,77,Own a Book,C,0
Private,74,87,Not Own Book,B,1
Private,85,78,Not Own Book,A,1
Private,120,88,Own a Book,C,1
Government,170,62,Not Own Book,F,0
Government,151,55,Own a Book,D,0
Private,58,81,Own a Book,D,1
Private,50,99,Own a Book,A,1
Government,202,82,Own a Book,F,0
Government,125,50,Not Own Book,F,0
Government,267,68,Own a Book,F,0
Government,189,68,Not Own Book,F,0
Private,80,86,Own a Book,C,1
Private,80,83,Own a Book,F,0
Government,168,77,Not Own Book,C,0
Private,64,94,Own a Book,A,1
Private,50,95,Not Own Book,C,1
Private,66,90,Own a Book,C,1
Government,149,76,Not Own Book,F,0
Government,120,66,Not Own Book,F,0
Government,92,54,Own a Book,F,0
Government,116,53,Not Own Book,D,0
Private,90,82,Not Own Book,B,1
Government,183,67,Own a Book,D,1
Government,157,57,Not Own Book,B,1
Private,83,80,Own a Book,B,1
Government,99,66,Own a Book,B,1
Government,114,78,Own a Book,D,1
Private,79,90,Not Own Book,A,1
Government,104,61,Own a Book,B,1
Private,76,88,Own a Book,B,1
Private,56,78,Own a Book,B,1
Government,75,61,Own a Book,D,0
Government,183,53,Not Own Book,C,1
Private,90,91,Own a Book,A,1
Government,121,67,Not Own Book,F,0
Private,52,86,Own a Book,B,1
Private,50,93,Own a Book,D,1
Government,232,60,Own a Book,D,1
Government,155,74,Not Own Book,C,0
Private,65,99,Not Own Book,D,1
Government,133,60,Own a Book,C,1
Private,50,77,Own a Book,C,1
Private,84,79,Own a Book,F,1
Private,105,90,Own a Book,C,1
Government,114,87,Not Own Book,B,1
Government,257,87,Own a Book,C,1
Government,144,78,Own a Book,F,0
Private,100,94,Own a Book,C,1
Government,163,74,Own a Book,D,1
Government,163,77,Not Own Book,C,1
Private,102,90,Not Own Book,A,1
Government,185,62,Own a Book,F,0
Private,80,99,Not Own Book,B,1
Private,50,97,Own a Book,A,1
Government,82,62,Not Own Book,F,0
Government,170,76,Not Own Book,F,0
Private,97,98,Own a Book,A,1
Private,76,90,Not Own Book,C,1
Private,66,86,Own a Book,F,1
Government,67,84,Not Own Book,A,1
Government,114,72,Not Own Book,D,0
Government,155,63,Own a Book,F,1
Government,111,58,Not Own Book,D,0
Private,60,67,Not Own Book,A,1
Government,147,89,Not Own Book,C,1
Private,96,82,Own a Book,A,1
Government,180,79,Own a Book,D,0
Private,79,81,Own a Book,A,1
Government,158,71,Not Own Book,F,0
Private,83,91,Own a Book,D,1
Private,73,79,Not Own Book,D,1
Government,131,79,Own a Book,D,1
Government,183,68,Own a Book,D,0
Private,71,91,Own a Book,C,1
Private,57,98,Not Own Book,C,1
Government,214,77,Not Own Book,D,0
Private,50,87,Not Own Book,C,1
Private,97,99,Not Own Book,B,1
Government,172,69,Not Own Book,F,0
Private,60,88,Not Own Book,C,1
Private,75,86,Not Own Book,A,1
Government,130,57,Not Own Book,F,0
Private,87,78,Own a Book,A,1
Government,185,64,Own a Book,A,1
Government,170,59,Own a Book,F,0
Government,183,67,Own a Book,C,0
Private,73,93,Own a Book,A,1
Government,229,65,Own a Book,F,0
Government,205,72,Not Own Book,F,0
Government,128,64,Not Own Book,F,0
Private,87,99,Own a Book,A,1
Government,182,85,Not Own Book,F,0
Government,138,67,Not Own Book,F,0
Government,134,72,Own a Book,C,1
Government,204,56,Not Own Book,F,0
Private,74,86,Own a Book,B,1
Government,161,63,Not Own Book,C,1
Private,96,93,Own a Book,A,1
Government,264,60,Not Own Book,B,1
Government,126,86,Not Own Book,D,1
Government,140,69,Own a Book,B,1
Government,153,61,Not Own Book,F,0
Private,76,88,Own a Book,A,1
Private,80,93,Own a Book,C,1
Government,127,75,Not Own Book,C,1
Government,93,71,Not Own Book,C,1
Government,228,78,Own a Book,F,0
Private,84,93,Own a Book,D,1
Government,131,78,Not Own Book,F,0
Government,169,67,Own a Book,B,1
Government,232,67,Not Own Book,D,0
Private,63,86,Not Own Book,F,0
Private,78,84,Own a Book,A,1
Government,87,71,Own a Book,C,1
Private,73,87,Own a Book,A,1
Government,177,86,Not Own Book,A,1
Private,58,84,Own a Book,C,1
Private,72,81,Own a Book,A,1
Government,185,76,Own a Book,F,0
Private,83,88,Own a Book,C,1
Government,97,63,Own a Book,F,1
Government,166,77,Not Own Book,F,0
Government,175,67,Own a Book,F,0
Private,76,98,Own a Book,B,1
Private,91,81,Own a Book,F,1
Government,123,64,Not Own Book,F,0
Government,168,71,Own a Book,B,1
Government,97,83,Not Own Book,C,1
Government,77,62,Not Own Book,C,0
Government,185,73,Own a Book,B,1
Private,75,79,Own a Book,C,1
Government,129,79,Not Own Book,D,0
Government,102,63,Own a Book,F,0
Private,87,92,Own a Book,A,1
Government,82,76,Own a Book,F,0
Government,194,51,Own a Book,F,0
Government,170,72,Not Own Book,F,1
Government,84,64,Not Own Book,F,0
Private,76,91,Own a Book,A,1
Private,114,81,Not Own Book,D,0
Government,203,64,Not Own Book,D,0
Government,112,81,Not Own Book,D,1
Government,182,81,Own a Book,D,1
Private,53,81,Own a Book,A,1
Government,88,87,Own a Book,A,1
Private,73,69,Own a Book,B,1
Government,174,72,Own a Book,D,1
Government,186,57,Own a Book,F,0
Private,87,90,Own a Book,A,1
Private,82,86,Own a Book,A,1
Government,77,59,Not Own Book,F,0
Private,74,82,Own a Book,B,1
Private,89,82,Not Own Book,F,0
Private,81,88,Own a Book,A,1
Private,77,94,Own a Book,C,1
Private,79,99,Own a Book,C,1
Government,164,68,Not Own Book,F,0
Private,50,90,Own a Book,A,1
Government,201,81,Not Own Book,C,1
Private,73,84,Own a Book,A,1
Government,181,62,Not Own Book,F,0
Private,50,99,Own a Book,A,1
Private,99,86,Own a Book,A,1
Private,57,89,Not Own Book,C,1
Private,113,76,Not Own Book,D,1
Private,106,84,Not Own Book,F,0
Government,90,88,Own a Book,D,1
Private,87,91,Own a Book,C,0
Government,104,69,Own a Book,D,0
Private,65,97,Not Own Book,D,0
Private,65,76,Own a Book,A,1
Government,170,65,Not Own Book,D,0
Government,164,92,Not Own Book,B,1
Private,56,87,Own a Book,A,1
Government,169,69,Not Own Book,B,1
Private,71,96,Own a Book,C,1
Government,68,82,Not Own Book,B,1
Government,130,56,Not Own Book,F,0
Government,224,74,Not Own Book,F,0
Private,68,99,Own a Book,A,1
Private,50,83,Own a Book,F,0
Private,87,85,Own a Book,D,1
Private,61,88,Own a Book,A,1
Government,159,76,Own a Book,D,0
Private,72,78,Own a Book,C,1
Private,101,66,Own a Book,D,1
Government,142,72,Not Own Book,D,1
Private,57,96,Own a Book,C,1
Government,128,66,Not Own Book,D,0
Government,94,63,Not Own Book,D,0
Private,71,86,Own a Book,A,1
Private,101,99,Not Own Book,A,1
Government,206,63,Own a Book,F,0
Private,105,91,Own a Book,C,1
Government,171,58,Own a Book,C,1
Private,77,80,Own a Book,A,1
Government,105,78,Not Own Book,F,0
Private,79,99,Own a Book,B,1
Government,144,78,Not Own Book,D,0
